Feature,P-Value,Bonferroni Corrected P-Value
GO:0004719,1.0,1.0
GO:0004721,0.3571428571428571,1.0
GO:0004722,0.3571428571428571,1.0
GO:0004725,1.0,1.0
GO:0004729,1.0,1.0
GO:0004730,1.0,1.0
GO:0004731,1.0,1.0
GO:0004733,1.0,1.0
GO:0004735,1.0,1.0
GO:0004738,1.0,1.0
GO:0004739,1.0,1.0
GO:0004742,1.0,1.0
GO:0004743,1.0,1.0
GO:0004746,1.0,1.0
GO:0004747,1.0,1.0
GO:0004748,1.0,1.0
GO:0004749,1.0,1.0
GO:0004750,1.0,1.0
GO:0004751,1.0,1.0
GO:0004756,1.0,1.0
GO:0004764,1.0,1.0
GO:0004765,1.0,1.0
GO:0004766,1.0,1.0
GO:0004775,1.0,1.0
GO:0004776,1.0,1.0
GO:0004777,0.3571428571428571,1.0
GO:0004781,1.0,1.0
GO:0004783,1.0,1.0
GO:0004784,1.0,1.0
GO:0004787,1.0,1.0
GO:0004789,1.0,1.0
GO:0004791,1.0,1.0
GO:0004792,1.0,1.0
GO:0004793,1.0,1.0
GO:0004794,1.0,1.0
GO:0004795,1.0,1.0
GO:0004797,1.0,1.0
GO:0004798,1.0,1.0
GO:0004799,1.0,1.0
GO:0004801,1.0,1.0
GO:0004802,1.0,1.0
GO:0004803,1.0,1.0
GO:0004805,1.0,1.0
GO:0004807,1.0,1.0
GO:0004808,1.0,1.0
GO:0004810,1.0,1.0
GO:0004812,1.0,1.0
GO:0004813,1.0,1.0
GO:0004814,1.0,1.0
GO:0004815,1.0,1.0
GO:0004816,1.0,1.0
GO:0004817,1.0,1.0
GO:0004818,1.0,1.0
GO:0004819,1.0,1.0
GO:0004820,1.0,1.0
GO:0004821,1.0,1.0
GO:0004822,1.0,1.0
GO:0004823,1.0,1.0
GO:0004824,1.0,1.0
GO:0004825,1.0,1.0
GO:0004826,1.0,1.0
GO:0004827,1.0,1.0
GO:0004828,1.0,1.0
GO:0004829,1.0,1.0
GO:0004830,1.0,1.0
GO:0004831,1.0,1.0
GO:0004832,1.0,1.0
GO:0004834,1.0,1.0
GO:0004838,1.0,1.0
GO:0004844,1.0,1.0
GO:0004845,1.0,1.0
GO:0004848,1.0,1.0
GO:0004849,1.0,1.0
GO:0004850,1.0,1.0
GO:0004851,1.0,1.0
GO:0004852,1.0,1.0
GO:0004853,1.0,1.0
GO:0004854,1.0,1.0
GO:0004856,1.0,1.0
GO:0004857,1.0,1.0
GO:0004866,1.0,1.0
GO:0004867,1.0,1.0
GO:0004888,1.0,1.0
GO:0005034,1.0,1.0
GO:0005047,1.0,1.0
GO:0005048,1.0,1.0
GO:0005085,1.0,1.0
GO:0005096,1.0,1.0
GO:0005198,1.0,1.0
GO:0005215,1.0,1.0
GO:0005216,1.0,1.0
GO:0005247,1.0,1.0
GO:0005253,1.0,1.0
GO:0005254,1.0,1.0
GO:0005262,1.0,1.0
GO:0005267,1.0,1.0
GO:0005275,1.0,1.0
GO:0005280,1.0,1.0
GO:0005283,1.0,1.0
GO:0005291,1.0,1.0
GO:0005294,1.0,1.0
GO:0005295,1.0,1.0
GO:0005297,1.0,1.0
GO:0005298,1.0,1.0
GO:0005302,1.0,1.0
GO:0005304,1.0,1.0
GO:0005315,1.0,1.0
GO:0005319,1.0,1.0
GO:0005337,1.0,1.0
GO:0005344,1.0,1.0
GO:0005350,1.0,1.0
GO:0005351,1.0,1.0
GO:0005354,1.0,1.0
GO:0005355,1.0,1.0
GO:0005372,1.0,1.0
GO:0005375,1.0,1.0
GO:0005381,1.0,1.0
GO:0005384,1.0,1.0
GO:0005385,1.0,1.0
GO:0005402,1.0,1.0
GO:0005412,1.0,1.0
GO:0005436,1.0,1.0
GO:0005452,1.0,1.0
GO:0005469,1.0,1.0
GO:0005477,1.0,1.0
GO:0005504,1.0,1.0
GO:0005506,0.536082474226804,1.0
GO:0005507,1.0,1.0
GO:0005509,1.0,1.0
GO:0005515,0.019310021008992394,1.0
GO:0005524,0.31835692442482,1.0
GO:0005525,1.0,1.0
GO:0005528,0.3571428571428571,1.0
GO:0005534,1.0,1.0
GO:0005536,1.0,1.0
GO:0005537,1.0,1.0
GO:0005542,1.0,1.0
GO:0005543,1.0,1.0
GO:0005548,1.0,1.0
GO:0005576,1.0,1.0
GO:0005615,1.0,1.0
GO:0005622,1.0,1.0
GO:0005667,1.0,1.0
GO:0005694,0.5505798969072165,1.0
GO:0005737,0.829548905546134,1.0
GO:0005777,1.0,1.0
GO:0005829,0.6719903333320697,1.0
GO:0005839,1.0,1.0
GO:0005840,1.0,1.0
GO:0005856,1.0,1.0
GO:0005886,0.23168873355496084,1.0
GO:0005945,1.0,1.0
GO:0005948,1.0,1.0
GO:0005950,1.0,1.0
GO:0005951,1.0,1.0
GO:0005960,1.0,1.0
GO:0005971,1.0,1.0
GO:0005975,0.536082474226804,1.0
GO:0005977,1.0,1.0
GO:0005978,1.0,1.0
GO:0005980,1.0,1.0
GO:0005986,1.0,1.0
GO:0005989,1.0,1.0
GO:0005990,1.0,1.0
GO:0005991,1.0,1.0
GO:0005992,1.0,1.0
GO:0005993,1.0,1.0
GO:0005995,1.0,1.0
GO:0005996,1.0,1.0
GO:0005997,1.0,1.0
GO:0005998,1.0,1.0
GO:0006000,1.0,1.0
GO:0006001,1.0,1.0
GO:0006002,1.0,1.0
GO:0006004,1.0,1.0
GO:0006006,1.0,1.0
GO:0006007,1.0,1.0
GO:0006011,1.0,1.0
GO:0006012,1.0,1.0
GO:0006013,1.0,1.0
GO:0006014,1.0,1.0
GO:0006015,1.0,1.0
GO:0006020,1.0,1.0
GO:0006032,1.0,1.0
GO:0006040,1.0,1.0
GO:0006043,1.0,1.0
GO:0006044,1.0,1.0
GO:0006046,1.0,1.0
GO:0006047,1.0,1.0
GO:0006048,1.0,1.0
GO:0006051,1.0,1.0
GO:0006053,1.0,1.0
GO:0006054,1.0,1.0
GO:0006062,1.0,1.0
GO:0006064,1.0,1.0
GO:0006065,0.3571428571428571,1.0
GO:0006066,1.0,1.0
GO:0006071,1.0,1.0
GO:0006072,1.0,1.0
GO:0006082,0.3571428571428571,1.0
GO:0006083,0.3571428571428571,1.0
GO:0006084,1.0,1.0
GO:0006085,1.0,1.0
GO:0006086,1.0,1.0
GO:0006089,1.0,1.0
GO:0006090,1.0,1.0
GO:0006091,1.0,1.0
GO:0006094,1.0,1.0
GO:0006096,1.0,1.0
GO:0006097,1.0,1.0
GO:0006098,1.0,1.0
GO:0006099,0.536082474226804,1.0
GO:0006101,1.0,1.0
GO:0006103,1.0,1.0
GO:0006104,1.0,1.0
GO:0006105,1.0,1.0
GO:0006106,1.0,1.0
GO:0006107,1.0,1.0
GO:0006108,1.0,1.0
